PARCELCODE,PROPIETARIO,NUMTELEF,PrecioMtrCdo
148187,Ana Simabuco,999854712,53.444072835377185
148188,Jasmin Sanchez,999874458,9.856639607903201
148189,Patricia Calderón,958745214,54.454370797310276
148192,José Rondón,999666582,32.48278539994823
148193,Francisco Calderón,987456321,12.166088580576307
148194,Jorge Zevallos,987321456,26.122915298752464
149665,Gustavo Chau,985632147,19.711454673225578
149666,Melissa Vargas,987456213,27.140453657803814
149667,Luis Anicama,999565857,46.13522156235724
149668,Silvia Espinoza,999858585,66.49298056155507
149671,Jorge Otoya,999636363,66.08910891089108
149672,Felipa Cen,993636587,67.73898531375167
149673,Arturo Chang,999587411,47.42635050251256
149674,Nestor Bermúdez,999222222,79.17964188400155
149675,Katarina Carpio,999852365,37.01699794379712
149678,Jimena Céspedes,999585222,84.04055944055943
149679,Claudio Pizarro,987124523,62.280443828016644
149680,Silvia Satra,963963963,53.98987885293666
150138,Salomón Legario,999999585,32.54783950617284
150140,Cesar Data,987454785,58.33786638500132
150141,Jessica Suarez,999656565,22.507892491467576
150142,Melissa Paredes,995854741,41.24069712670749
150146,None,None,24.34413626771179
150147,None,None,76.49101610904584
150149,None,None,19.07168458781362
150150,None,None,37.937508345573505
150151,None,None,59.81754966887417
150152,None,None,47.66438265911187
150153,None,None,43.44202898550725
150154,None,None,74.28155802861686
150155,None,None,15.880900281337919
150158,None,None,86.53322820455057
150159,None,None,67.4054614586934
150275,None,None,56.95968266354532
150278,None,None,18.210657785179016
150281,None,None,36.82483994878361
150282,None,None,43.129196337741604
150283,None,None,49.90440210249672
150284,None,None,49.431513219077985
150285,None,None,88.79990437485058
150286,None,None,46.73503260225252
150287,None,None,82.72014475271412
148244,None,None,29.35323383084577
148245,None,None,42.21992481203007
148246,None,None,68.40457008935111
148249,None,None,47.464276697803584
148251,None,None,69.8076668869795
148254,None,None,56.202076124567476
148256,None,None,63.996019900497515
148257,None,None,88.11769686706181
148260,None,None,14.118212783009417
148262,None,None,16.165060404506583
148263,None,None,44.92246759481517
148264,None,None,51.484029932469426
148265,None,None,30.46788990825688
148266,None,None,37.34293527803099
148267,None,None,73.7507825309286
148269,None,None,44.66103351955307
148271,None,None,51.598861119898764
148272,None,None,67.42078364565587
148273,None,None,13.161843515541264
148275,None,None,22.9073572993171
148276,None,None,59.06535178098322
148277,None,None,32.0595830531271
148280,None,None,49.379675467546754
148281,None,None,62.801745399354964
148396,None,None,88.66185612788632
148398,None,None,87.69359823399559
148399,None,None,10.078219824679703
148400,None,None,42.3311957247829
148402,None,None,36.68854840840048
148403,None,None,31.11117279666898
148407,None,None,48.33053582956746
148409,None,None,35.621108884435536
148411,None,None,53.187665531592884
148412,None,None,34.704428676290675
148413,None,None,14.762584874736596
148414,None,None,64.50460157126824
148415,None,None,20.066548358473824
148416,None,None,57.55673579497555
148417,None,None,72.63917525773196
148418,None,None,40.67165685449958
148420,None,None,70.86109375
148421,None,None,70.18276417997949
148422,None,None,23.409383624655014
148423,None,None,52.615343915343914
148425,None,None,27.736380330544787
148426,None,None,50.61836575875486
148429,None,None,61.790922259777886
148430,None,None,61.763219466541884
148432,None,None,52.62422520661157
148433,None,None,16.410854745673834
148434,None,None,66.39422150882825
148547,None,None,16.37230846269404
148548,None,None,81.60015290519878
148551,None,None,13.471772743617404
148552,None,None,33.983303249097474
148553,None,None,55.01593533487298
148554,None,None,74.46003856867367
148556,None,None,27.40867967203845
148557,None,None,43.759109964527575
148559,None,None,41.135381114903296
148560,None,None,50.798415492957744
148561,None,None,56.91570247933884
148562,None,None,53.61875149485769
148563,None,None,42.30745107877571
148565,None,None,10.903157894736841
148566,None,None,54.64177267131719
148567,None,None,28.08417949557812
148569,None,None,73.84798345398139
148571,None,None,65.475
148572,None,None,73.65035246727089
148573,None,None,35.50087290502793
148574,None,None,53.973760405356494
148575,None,None,58.05198267244252
148577,None,None,78.81187318020058
148579,None,None,61.3595363158848
148580,None,None,66.52644103648863
148581,None,None,52.44766767231376
148582,None,None,28.79793854531311
148583,None,None,46.8902329749104
148737,None,None,59.41526537046768
148738,None,None,67.94511111111112
148739,None,None,36.26926457661881
148740,None,None,31.33268896191765
148741,None,None,65.24348521183053
148743,None,None,45.64718983361719
148744,None,None,52.82002514932411
148745,None,None,9.789499036608863
148746,None,None,42.522977022977024
148748,None,None,51.75546544428773
148749,None,None,23.051313565831926
148750,None,None,37.70244740231859
148751,None,None,12.378556647697879
148752,None,None,42.48627951499681
148753,None,None,38.57280265339967
148755,None,None,47.70489342539778
148756,None,None,20.765076754385966
148757,None,None,26.4898393194707
148758,None,None,8.406869220607662
148759,None,None,32.99718309859155
148760,None,None,83.96363636363637
148761,None,None,77.84971098265896
148762,None,None,58.47154471544715
148764,None,None,71.04069175991862
148765,None,None,85.57135470527405
148767,None,None,80.92590120160213
148768,None,None,48.70259446282431
148847,None,None,13.237205770690965
148848,None,None,44.27639751552795
148849,None,None,56.918930041152265
149174,None,None,84.0785751702462
149175,None,None,28.051238975220496
149176,None,None,42.59712421781387
149178,None,None,62.26737739872068
149180,None,None,70.30032492650471
149181,None,None,44.75092855582259
149183,None,None,10.69427377734087
149184,None,None,52.243648208469054
149187,None,None,29.69893078221722
